reqYymm,year,cstmSgn,portCd,statKor,expCnt,expDlr,impCnt,impDlr,balPayments
202412,202412,150,KRBNP,부산신항,478,40979365,12,12352876,28626489
202412,202412,151,KRBNP,부산신항,322,39168252,315,36777161,2391091
202412,202412,152,KRBNP,부산신항,867,61221984,324,26592209,34629775
202412,202412,153,KRBNP,부산신항,318,36937769,73,4780993,32156776
202412,202412,154,KRBNP,부산신항,651,53251783,2,821279,52430504
202412,202412,030,KRBOR,보령항,0,0,1,120,-120
202412,202412,084,KRBOR,보령항,1,861,30,382304124,-382303263
202412,202412,090,KRCHA,제주항,1,939440,0,0,939440
202412,202412,051,KRCHF,진해항,0,0,2,650264,-650264
202412,202412,053,KRCHF,진해항,3,997659,21,8909783,-7912124
202412,202412,070,KRCHF,진해항,1,14890,0,0,14890
202412,202412,080,KRCHF,진해항,1,10530,0,0,10530
202412,202412,153,KRCHF,진해항,2,5775,0,0,5775
202412,202412,080,KRCHG,장항항,2,975199,9,7796413,-6821214
202412,202412,150,KRCHG,장항항,1,114657,0,0,114657
202412,202412,062,KRDBL,대불항,1,1746786,0,0,1746786
202412,202412,070,KRDBL,대불항,19,7217314,0,0,7217314
202412,202412,122,KRDBL,대불항,2,514749,0,0,514749
202412,202412,152,KRDBL,대불항,5,1964428,0,0,1964428
202412,202412,153,KRDBL,대불항,2,796368,0,0,796368
202412,202412,012,KRGIN,경인항,0,0,8,86323,-86323
202412,202412,016,KRGIN,경인항,3,59613,4,203947,-144334
202412,202412,020,KRGIN,경인항,212,6314275,1164,40359213,-34044938
202412,202412,021,KRGIN,경인항,1,26286,5,182852,-156566
202412,202412,023,KRGIN,경인항,4,233245,1,19730,213515
202412,202412,040,KRGIN,경인항,0,0,5,35552,-35552
202412,202412,041,KRGIN,경인항,0,0,11,1004927,-1004927
202412,202412,053,KRGIN,경인항,0,0,28,414882,-414882
202412,202412,081,KRGIN,경인항,0,0,1,104048,-104048
202412,202412,130,KRGIN,경인항,3,1951,7,139777,-137826
202412,202412,131,KRGIN,경인항,0,0,3,12970,-12970
202412,202412,151,KRGIN,경인항,0,0,1,24764,-24764
202412,202412,152,KRGIN,경인항,1,55552,0,0,55552
202412,202412,100,KRHSA,호산항,0,0,3,18308674,-18308674
202412,202412,010,KRINC,인천항,1324,20853725,475,13803635,7050090
202412,202412,011,KRINC,인천항,196,6844843,0,0,6844843
202412,202412,012,KRINC,인천항,754,44670628,855,60095959,-15425331
202412,202412,014,KRINC,인천항,1872,116335650,188,11421293,104914357
